t [s]	Ux [V]	Uy [V]
8,900675	-1,384095	0,006354
8,910675	-1,386645	0,006354
8,920675	-1,387919	0,006354
8,949099	-1,386645	0,006354
8,959099	-1,387919	0,008906
8,969099	-1,389194	0,008906
8,979099	-1,387919	0,008906
8,989099	-1,391743	0,002526
8,999099	-1,387919	0,002526
9,009099	-1,38537	0,008906
9,019099	-1,390468	0,006354
9,029099	-1,38537	0,006354
9,039099	-1,386645	0,006354
9,05532	-1,390468	0,002526
9,06532	-1,38537	0,006354
9,07532	-1,38537	0,006354
9,08532	-1,390468	0,003802
9,09532	-1,387919	0,006354
9,10532	-1,387919	0,005078
9,11532	-1,391743	0,002526
9,12532	-1,387919	0,008906
9,13532	-1,387919	0,003802
9,14532	-1,386645	0,006354
9,171323	-1,390468	0,003802
9,181323	-1,386645	0,006354
9,191323	-1,386645	0,006354
9,201323	-1,391743	0,002526
9,211323	-1,386645	0,00763
9,221323	-1,387919	0,006354
9,231323	-1,390468	0,002526
9,241323	-1,387919	0,006354
9,251323	-1,384095	0,008906
9,261323	-1,390468	0,001251
9,281476	-1,390468	0,003802
9,291476	-1,384095	0,005078
9,301476	-1,390468	0,005078
9,311476	-1,386645	0,006354
9,321476	-1,384095	0,006354
9,331476	-1,386645	0,00763
9,341476	-1,390468	0,00763
9,351476	-1,386645	0,003802
9,361476	-1,387919	0,002526
9,371476	-1,387919	0,006354
9,385333	-1,390468	0,002526
9,395333	-1,391743	0,006354
9,405333	-1,389194	0,005078
9,415333	-1,387919	0,003802
9,425333	-1,387919	0,006354
9,435333	-1,384095	0,008906
9,445333	-1,387919	0,006354
9,455333	-1,387919	0,006354
9,465333	-1,390468	0,002526
9,475333	-1,389194	0,006354
9,502763	-1,386645	0,006354
9,512763	-1,390468	0,002526
9,522763	-1,386645	0,010181
9,532763	-1,387919	0,002526
9,542763	-1,386645	0,010181
9,552763	-1,387919	0,002526
9,562763	-1,384095	0,006354
9,572763	-1,384095	0,006354
9,582763	-1,384095	0,006354
9,592763	-1,384095	0,008906
9,61124	-1,391743	0,002526
9,62124	-1,386645	0,005078
9,63124	-1,38537	0,006354
9,64124	-1,387919	0,008906
9,65124	-1,391743	0,006354
