T [s]	Ux [V]	Uy [V]
14,508253	0,235852	0,006354
14,518253	0,295756	0,006354
14,528253	0,356934	0,008906
14,538253	0,421936	0,00763
14,548253	0,484389	0,006354
14,558253	0,54939	0,003802
14,568253	0,614392	0,008906
14,578253	0,673021	0,001251
14,588253	0,741847	0,006354
14,598253	0,809398	0,010181
14,621275	0,940676	0,006354
14,631275	1,008227	0,006354
14,641275	1,063032	0,010181
14,651275	1,125485	0,003802
14,661275	1,18284	0,006354
14,671275	1,245292	0,005078
14,681275	1,305196	0,005078
14,691275	1,361276	0,006354
14,701275	1,416082	0,003802
14,711275	1,47726	0,006354
14,728172	1,56138	0,003802
14,738172	1,628931	0,006354
14,748172	1,688834	0,006354
14,758172	1,742365	0,005078
14,768172	1,806093	0,005078
14,778172	1,865996	0,002526
14,788172	1,923351	0,002526
14,798172	1,993451	0,006354
14,808172	2,049531	0,008906
14,818172	2,096689	0,003802
14,847925	2,268753	0,005078
14,857925	2,31846	0,006354
14,867925	2,371991	0,003802
14,877925	2,425522	0,003802
14,887925	2,476504	0,006354
14,897925	2,532584	0,010181
14,907925	2,586115	0,006354
14,917925	2,634547	0,002526
14,927925	2,689353	0,002526
14,937925	2,740335	0,008906
14,961867	2,852495	0,006354
14,971867	2,899653	0,002526
14,981867	2,94936	0,006354
14,991867	2,999068	0,008906
15,001867	3,046226	0,005078
15,011867	3,092109	0,006354
15,021867	3,135444	0,006354
15,031867	3,191524	0,006354
15,041867	3,234858	0,006354
15,051867	3,296037	0,006354
15,073546	3,415844	0,006354
15,083546	3,475748	0,010181
15,093546	3,526729	0,006354
15,103546	3,585359	0,006354
15,113546	3,63889	0,003802
15,123546	3,696244	0,006354
15,133546	3,754873	0,006354
15,143546	3,798208	0,002526
15,153546	3,847915	0,006354
15,163546	3,900171	0,008906
15,192909	4,032724	0,010181
15,202909	4,07351	0,002526
15,212909	4,124491	0,006354
15,222909	4,169101	0,008906
15,232909	4,208611	0,006354
15,242909	4,25577	0,008906
15,252909	4,294006	0,002526
15,262909	4,332242	0,006354
15,272909	4,373028	0,003802
15,282909	4,415088	0,008906
15,312195	4,503032	0,005078
15,322195	4,524699	0,006354
15,332195	4,541268	0,006354
15,342195	4,556562	0,008906
15,352195	4,56421	0,008906
15,362195	4,580779	0,002526
15,372195	4,607544	0,008906
15,382195	4,630486	0,002526
15,392195	4,668723	0,006354
15,402195	4,710783	0,005078
15,425872	4,821668	0,008906
15,435872	4,868826	0,008906
15,445872	4,91471	0,005078
15,455872	4,960594	0,002526
15,465872	5,007752	0,006354
15,475872	5,060008	0,006354
15,485872	5,107166	0,006354
15,495872	5,156874	0,006354
15,505872	5,215503	0,006354
15,515872	5,263935	0,00763
15,529788	5,341683	0,008906
15,539788	5,392665	0,006354
15,549788	5,448745	0,006354
15,559788	5,498452	0,006354
15,569788	5,560905	0,008906
15,579788	5,611886	0,008906
15,589788	5,666692	0,005078
15,599788	5,717674	0,006354
15,609788	5,76993	0,010181
15,619788	5,819637	0,006354
15,647475	5,95219	0,00763
15,657475	5,995525	0,008906
15,667475	6,033761	0,008906
15,677475	6,073272	0,006354
15,687475	6,114057	0,006354
15,697475	6,152294	0,006354
15,707475	6,191805	0,010181
15,717475	6,221119	0,003802
15,727475	6,263179	0,006354
15,737475	6,298867	0,006354
15,758219	6,368967	0,002526
15,768219	6,405928	0,006354
15,778219	6,441616	0,006354
15,788219	6,465832	0,006354
15,798219	6,504068	0,005078
15,808219	6,528285	0,002526
15,818219	6,557599	0,003802
15,828219	6,584365	0,002526
15,838219	6,616228	0,006354
15,848219	6,650641	0,00763
15,867278	6,724565	0,008906
15,877278	6,755154	0,008906
15,887278	6,792116	0,008906
15,897278	6,820156	0,008906
15,907278	6,850745	0,008906
15,917278	6,874961	0,00763
15,927278	6,911923	0,008906
15,937278	6,928492	0,008906
15,947278	6,956532	0,008906
15,957278	6,979474	0,00763
15,980954	7,044476	0,010181
15,990954	7,06232	0,006354
16,000954	7,08781	0,010181
16,010954	7,106929	0,006354
16,020954	7,128596	0,006354
16,030954	7,152812	0,006354
16,040954	7,17448	0,006354
16,050954	7,192323	0,006354
16,060954	7,215265	0,006354
16,070954	7,239481	0,008906
16,087492	7,273894	0,010181
16,097492	7,28409	0,002526
16,107492	7,295561	0,006354
16,117492	7,313405	0,005078
16,127492	7,331249	0,006354
16,137492	7,347818	0,002526
16,147492	7,365661	0,002526
16,157492	7,382231	0,00763
16,167492	7,411545	0,006354
16,177492	7,425565	0,002526
16,20474	7,4689	0,006354
16,21474	7,481645	0,00763
16,22474	7,504587	0,005078
16,23474	7,514783	0,005078
16,24474	7,545372	0,006354
16,25474	7,564491	0,002526
16,26474	7,589981	0,006354
16,27474	7,616747	0,008906
16,28474	7,638414	0,002526
16,29474	7,675376	0,006354
16,323264	7,756947	0,006354
16,333264	7,807929	0,002526
16,343264	7,830871	0,008906
16,353264	7,865283	0,006354
16,363264	7,907343	0,006354
16,373264	7,940482	0,003802
16,383264	7,981267	0,008906
16,393264	8,009307	0,002526
16,403264	8,041171	0,010181
16,413264	8,064113	0,006354
16,43704	8,112545	0,006354
16,44704	8,129114	0,002526
16,45704	8,148233	0,006354
16,46704	8,1699	0,005078
16,47704	8,181371	0,008906
16,48704	8,196665	0,002526
16,49704	8,220882	0,006354
16,50704	8,241274	0,008906
16,51704	8,248922	0,002526
16,52704	8,271863	0,008906
16,55028	8,315198	0,006354
16,56028	8,334316	0,003802
16,57028	8,355984	0,008906
16,58028	8,3802	0,002526
16,59028	8,406965	0,008906
16,60028	8,433731	0,006354
16,61028	8,455398	0,00763
16,62028	8,468144	0,006354
16,63028	8,489811	0,006354
16,64028	8,511478	0,010181
16,66832	8,559911	0,006354
16,67832	8,581578	0,006354
16,68832	8,595598	0,010181
16,69832	8,5905	0,008906
16,70832	8,591774	0,002526
16,71832	8,589225	0,003802
16,72832	8,587951	0,003802
16,73832	8,589225	0,001251
16,74832	8,591774	0,00763
16,75832	8,595598	0,008906
16,772454	8,591774	0,006354
16,782454	8,589225	0,003802
